N,TL,TR,current_trail,thread_1,thread_2,thread_3,thread_4,thread_5,thread_6,thread_7,thread_8,Mean,std_div
Rate Function: sqrt(x*y/(x+y)),,,,,,,,,,,,,,
Test_1: Mean energy flux for changing length of the chain. Let N change from 2 to 100.,,,,,,,,,,,,,,
2,1,2,1,4309.72,3509.04,3858.44,4159.82,4242.76,3986.02,3659.71,4210.23,0.199598,
2,1,2,2,3813.31,3576.45,4000.22,4050.03,3495.96,3577.3,3655.61,4037.03,0.188787,
2,1,2,3,3813.31,3576.45,4000.22,4050.03,3495.96,3577.3,3655.61,4037.03,0.188787,
2,1,2,4,3813.31,3576.45,4000.22,4050.03,3495.96,3577.3,3655.61,4037.03,0.188787,
2,1,2,5,3813.31,3576.45,4000.22,4050.03,3495.96,3577.3,3655.61,4037.03,0.188787,
2,1,2,6,3813.31,3576.45,4000.22,4050.03,3495.96,3577.3,3655.61,4037.03,0.188787,
2,1,2,7,3813.31,3576.45,4000.22,4050.03,3495.96,3577.3,3655.61,4037.03,0.188787,
2,1,2,8,3813.31,3576.45,4000.22,4050.03,3495.96,3577.3,3655.61,4037.03,0.188787,
2,1,2,9,3813.31,3576.45,4000.22,4050.03,3495.96,3577.3,3655.61,4037.03,0.188787,
2,1,2,10,3813.31,3576.45,4000.22,4050.03,3495.96,3577.3,3655.61,4037.03,0.188787,
,,,,,,,,,,,,,=STDEV.S(M4:M13),
,,,,,,,,,,,,,,
3,1,2,1,3512.67,3516.29,3720.1,3376.49,3403.42,3407.66,3004.72,3303.65,0.170281,
3,1,2,2,3512.67,3516.29,3720.1,3376.49,3403.42,3407.66,3004.72,3303.65,0.170281,
3,1,2,3,3512.67,3516.29,3720.1,3376.49,3403.42,3407.66,3004.72,3303.65,0.170281,
3,1,2,4,3512.67,3516.29,3720.1,3376.49,3403.42,3407.66,3004.72,3303.65,0.170281,
3,1,2,5,3512.67,3516.29,3720.1,3376.49,3403.42,3407.66,3004.72,3303.65,0.170281,
3,1,2,6,3512.67,3516.29,3720.1,3376.49,3403.42,3407.66,3004.72,3303.65,0.170281,
3,1,2,7,3512.67,3516.29,3720.1,3376.49,3403.42,3407.66,3004.72,3303.65,0.170281,
3,1,2,8,3512.67,3516.29,3720.1,3376.49,3403.42,3407.66,3004.72,3303.65,0.170281,
3,1,2,9,3512.67,3516.29,3720.1,3376.49,3403.42,3407.66,3004.72,3303.65,0.170281,
3,1,2,10,3512.67,3516.29,3720.1,3376.49,3403.42,3407.66,3004.72,3303.65,0.170281,
